,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10476,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19494818.0,19494818.0,False,,1,,,,2023-09-24T17:06:00.000Z,26573.61946275084,6164625974.072355,-24.2741,-0.02014323,-0.08260531,0.25651054,2.46810284,-9.36441114,-11.65819482,518047875027.58545,49.1687,558046008717.77,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
1,1027,Ethereum,ETH,ethereum,7431,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228044.0903488,120228044.0903488,True,,2,,,,2023-09-24T17:06:00.000Z,1590.6021501171574,2027858490.301928,-15.839,0.00694736,-0.17439109,-2.07297957,-3.305727,-14.49400035,-14.00612518,191234985434.4892,18.1504,191234985434.49,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
2,825,Tether USDt,USDT,tether,62745,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83203741768.41498,86426198725.00061,True,,3,,,,2023-09-24T17:06:00.000Z,1.0000393200451303,10634994648.960777,-18.8271,-0.00338724,0.00013129,-0.06184006,0.05807143,0.00591039,0.01427072,83207013343.29633,7.8967,86429597007.03,,2023-09-24T17:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-24 17:08:01.938197
3,1839,BNB,BNB,bnb,1635,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847366.66563037,153847366.66563037,False,,4,,,,2023-09-24T17:06:00.000Z,210.54416112616514,197956625.32833925,-12.0036,-0.07746096,-0.08376611,-2.44544682,-3.12717614,-11.51439077,-10.60389356,32391664756.084686,3.0741,32391664756.08,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
4,52,XRP,XRP,xrp,1097,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53245240268.0,99988414766.0,False,,5,,,,2023-09-24T17:06:00.000Z,0.5089168704493707,346148602.8021145,-25.8024,-0.14141909,-0.31527376,2.19240606,-1.38635722,-27.55932273,6.93394584,27097401043.515373,2.5719,50891687044.94,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
5,3408,USD Coin,USDC,usd-coin,14217,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25777559792.89908,25777559792.89908,False,,6,,,,2023-09-24T17:06:00.000Z,1.000056548030847,1431092283.1155312,-24.7183,-0.00543027,-0.01164681,-0.01911868,0.0039395,-0.00589308,0.02812512,25779017463.14541,2.4467,25779017463.15,,2023-09-24T17:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-24 17:08:01.938197
6,74,Dogecoin,DOGE,dogecoin,800,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141140326383.7052,141140326383.7052,True,,7,,,,2023-09-24T17:06:00.000Z,0.061515776929279266,94567629.97744131,-21.7639,-0.0167675,-0.27075409,-0.37382952,-1.2529497,-21.70626359,-5.26846005,8682356833.545677,0.8241,8682356833.55,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
7,2010,Cardano,ADA,cardano,938,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35118370922.321,36198584811.424,False,,8,,,,2023-09-24T17:06:00.000Z,0.24516820196790987,62182307.32554021,-26.5612,-0.10252801,-0.19470243,-1.33829013,-5.83073557,-19.5933867,-12.91231864,8609907855.067568,0.8172,11032569088.56,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
8,5426,Solana,SOL,solana,530,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,412747817.9849933,558283641.0100433,True,,9,,,,2023-09-24T17:06:00.000Z,19.492345701327466,97772275.4020858,-20.0719,-0.21541646,0.31637162,3.01514608,-4.31374933,-21.12088642,18.92485559,8045423155.632075,0.7635,10882257729.96,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
9,11419,Toncoin,TON,toncoin,150,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,7595104993.3155775,,2023-09-24T17:06:00.000Z,2.224585343892728,21749967.87804333,-19.6638,0.28664557,-3.77970774,-4.71003411,59.34671985,61.54531111,54.59141468,7634536839.940869,0.7246,11228724723.83,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
10,1958,TRON,TRX,tron,840,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,89128059217.17645,89128124203.2118,True,,11,71659659264.0,6043033159.52991,,2023-09-24T17:06:00.000Z,0.08432963848274641,107259297.78790027,-16.23,0.24307921,0.73913361,0.79987864,10.070907,3.42570846,15.28494024,7516137012.453304,0.7133,7516142492.7,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
11,4943,Dai,DAI,multi-collateral-dai,2609,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,12,,,,2023-09-24T17:06:00.000Z,0.9997932139440432,51987100.88942046,-49.7501,-0.01217245,-0.05774896,0.01560037,0.02163793,0.0048534,0.0780249,5346782726.9559965,0.5075,5346782726.96,,2023-09-24T17:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-09-24 17:08:01.938197
12,6636,Polkadot,DOT,polkadot-new,587,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1287846745.643635,1359085373.905158,True,,13,,,,2023-09-24T17:06:00.000Z,4.039673805797484,56751675.45846752,-8.2359,-0.14720521,0.48046688,-1.50191977,-9.26293066,-22.58902779,-21.43063703,5202480764.258128,0.4938,5490261584.81,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
13,3890,Polygon,MATIC,polygon,965,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,14,,,,2023-09-24T17:06:00.000Z,0.5220238167349117,127150737.97314408,-8.6693,0.00255021,0.13048231,0.15412137,-3.48757435,-26.94039163,-18.99060956,4864984813.491075,0.4617,5220238167.35,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
14,2,Litecoin,LTC,litecoin,1003,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73689226.72743528,84000000.0,False,,15,,,,2023-09-24T17:06:00.000Z,64.71490300400417,177934740.90205625,-25.9727,0.0349499,-0.42090322,1.2528165,0.36489094,-27.41695316,-25.61625799,4768791160.106046,0.4526,5436051852.34,,2023-09-24T17:06:00.000Z,,,,,,2023-09-24 17:08:01.938197
0,1,Bitcoin,BTC,bitcoin,10476,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19494818.0,19494818.0,False,,1,,,,2023-09-24T17:07:00.000Z,26572.671027186734,6162289584.968664,-24.2972,-0.01485515,-0.09018138,0.25256242,2.47804606,-9.36374013,-11.62932505,518029385448.8784,49.167,558026091570.92,,2023-09-24T17:07:00.000Z,,,,,,2023-09-24 17:09:02.690155
1,1027,Ethereum,ETH,ethereum,7431,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228044.0903488,120228044.0903488,True,,2,,,,2023-09-24T17:07:00.000Z,1590.600486708944,2027348860.7067962,-15.8612,0.02016214,-0.17632757,-2.07627083,-3.30018535,-14.50217663,-13.95944305,191234785446.17316,18.1504,191234785446.17,,2023-09-24T17:07:00.000Z,,,,,,2023-09-24 17:09:02.690155
2,825,Tether USDt,USDT,tether,62745,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83203741768.41498,86426198725.00061,True,,3,,,,2023-09-24T17:07:00.000Z,1.0000246051360617,10629378666.012182,-18.8617,0.00267624,-0.00937926,-0.04688273,0.05644951,0.00440484,0.0061664,83205789007.80203,7.8976,86428325253.38,,2023-09-24T17:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-24 17:09:02.690155
3,1839,BNB,BNB,bnb,1635,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847366.66563037,153847366.66563037,False,,4,,,,2023-09-24T17:07:00.000Z,210.5481990303,197717911.07916704,-12.0515,-0.06240703,-0.04556706,-2.42659154,-3.08490491,-11.50880914,-10.46674593,32392285977.002686,3.0746,32392285977.0,,2023-09-24T17:07:00.000Z,,,,,,2023-09-24 17:09:02.690155
